model,metrics,values
Vanilla Logistic Regression_rSub,test_f1,0.5223367697594502
Vanilla Logistic Regression_rSub,test_f1,0.608974358974359
Vanilla Logistic Regression_rSub,test_f1,0.6081504702194358
Vanilla Logistic Regression_rSub,test_f1,0.5821917808219178
Vanilla single Tree_rSub,test_f1,0.6040268456375838
Vanilla single Tree_rSub,test_f1,0.5752508361204013
Vanilla single Tree_rSub,test_f1,0.6019417475728156
Vanilla single Tree_rSub,test_f1,0.5650557620817843
Vanilla single Tree_rSub,test_f1,0.6437499999999999
Vanilla single Tree_rSub,test_f1,0.593103448275862
Vanilla single Tree_rSub,test_f1,0.5142857142857141
Vanilla single Tree_rSub,test_f1,0.5735849056603773
Vanilla single Tree_rSub,test_f1,0.5906040268456376
Vanilla single Tree_rSub,test_f1,0.5529010238907851
Vanilla random forest_rSub,test_f1,0.5347222222222222
Vanilla random forest_rSub,test_f1,0.49612403100775193
Vanilla random forest_rSub,test_f1,0.5096525096525096
Vanilla random forest_rSub,test_f1,0.44015444015444016
Vanilla random forest_rSub,test_f1,0.5313653136531364
Vanilla random forest_rSub,test_f1,0.5
Vanilla random forest_rSub,test_f1,0.5204460966542751
Vanilla random forest_rSub,test_f1,0.518796992481203
Vanilla random forest_rSub,test_f1,0.530909090909091
Vanilla random forest_rSub,test_f1,0.5278810408921933
Tuned Logistic Regression_rSub,test_f1,0.5760517799352752
Tuned Logistic Regression_rSub,test_f1,0.5938566552901022
Tuned Logistic Regression_rSub,test_f1,0.6092715231788081
Tuned Logistic Regression_rSub,test_f1,0.608695652173913
Tuned Logistic Regression_rSub,test_f1,0.6158940397350993
Tuned Logistic Regression_rSub,test_f1,0.56875
Tuned Logistic Regression_rSub,test_f1,0.5966101694915255
Tuned Logistic Regression_rSub,test_f1,0.5505226480836237
Tuned Logistic Regression_rSub,test_f1,0.6557377049180328
Tuned Logistic Regression_rSub,test_f1,0.6233766233766234
Tuned single Tree_rSub,test_f1,0.6352201257861636
Tuned single Tree_rSub,test_f1,0.60126582278481
Tuned single Tree_rSub,test_f1,0.6208955223880598
Tuned single Tree_rSub,test_f1,0.6405693950177936
Tuned single Tree_rSub,test_f1,0.5918367346938775
Tuned single Tree_rSub,test_f1,0.6020066889632107
Tuned single Tree_rSub,test_f1,0.619718309859155
Tuned single Tree_rSub,test_f1,0.5951557093425607
Tuned single Tree_rSub,test_f1,0.6199261992619927
Tuned single Tree_rSub,test_f1,0.6283783783783784
Bagged tuned single Tree_rSub,test_f1,0.6229508196721311
Bagged tuned single Tree_rSub,test_f1,0.5733333333333334
Bagged tuned single Tree_rSub,test_f1,0.6040268456375839
Bagged tuned single Tree_rSub,test_f1,0.6170212765957447
Bagged tuned single Tree_rSub,test_f1,0.576388888888889
Bagged tuned single Tree_rSub,test_f1,0.5886287625418061
Bagged tuned single Tree_rSub,test_f1,0.6041666666666666
Bagged tuned single Tree_rSub,test_f1,0.5682656826568265
Bagged tuned single Tree_rSub,test_f1,0.6643835616438357
Bagged tuned single Tree_rSub,test_f1,0.6241610738255035
Tuned random forest_rSub,test_f1,0.6325878594249201
Tuned random forest_rSub,test_f1,0.5968253968253968
Tuned random forest_rSub,test_f1,0.6114649681528662
Tuned random forest_rSub,test_f1,0.6217948717948718
Tuned random forest_rSub,test_f1,0.5906040268456375
Tuned random forest_rSub,test_f1,0.6058631921824104
Tuned random forest_rSub,test_f1,0.6228373702422145
Tuned random forest_rSub,test_f1,0.5958904109589042
Tuned random forest_rSub,test_f1,0.6560509554140128
Tuned random forest_rSub,test_f1,0.6312292358803987
Tuned XGB_rSub,test_f1,0.6125
Tuned XGB_rSub,test_f1,0.5741935483870968
Tuned XGB_rSub,test_f1,0.625
Tuned XGB_rSub,test_f1,0.615916955017301
Tuned XGB_rSub,test_f1,0.6060606060606061
Tuned XGB_rSub,test_f1,0.6217948717948718
Tuned XGB_rSub,test_f1,0.6185567010309277
Tuned XGB_rSub,test_f1,0.6122448979591837
Tuned XGB_rSub,test_f1,0.6732673267326731
Tuned XGB_rSub,test_f1,0.6199999999999999
Vanilla Logistic Regression_rSub,test_roc_auc,0.76904080284393
Vanilla Logistic Regression_rSub,test_roc_auc,0.7201335758183871
Vanilla Logistic Regression_rSub,test_roc_auc,0.7236526189423138
Vanilla Logistic Regression_rSub,test_roc_auc,0.7411385606874328
Vanilla Logistic Regression_rSub,test_roc_auc,0.7666961521450685
Vanilla Logistic Regression_rSub,test_roc_auc,0.7088519618373665
Vanilla Logistic Regression_rSub,test_roc_auc,0.6733272256270928
Vanilla Logistic Regression_rSub,test_roc_auc,0.7418967587034815
Vanilla Logistic Regression_rSub,test_roc_auc,0.7519270866241233
Vanilla Logistic Regression_rSub,test_roc_auc,0.7284861312946231
Vanilla single Tree_rSub,test_roc_auc,0.7303300091232265
Vanilla single Tree_rSub,test_roc_auc,0.704392951210335
Vanilla single Tree_rSub,test_roc_auc,0.7309502748467808
Vanilla single Tree_rSub,test_roc_auc,0.6891862007961079
Vanilla single Tree_rSub,test_roc_auc,0.7501737537120112
Vanilla single Tree_rSub,test_roc_auc,0.7292917166866746
Vanilla single Tree_rSub,test_roc_auc,0.651702786377709
Vanilla single Tree_rSub,test_roc_auc,0.7438554369116067
Vanilla single Tree_rSub,test_roc_auc,0.7216307575661843
Vanilla single Tree_rSub,test_roc_auc,0.6810671637075882
Vanilla random forest_rSub,test_roc_auc,0.667757259256929
Vanilla random forest_rSub,test_roc_auc,0.6901574062460806
Vanilla random forest_rSub,test_roc_auc,0.6896758703481393
Vanilla random forest_rSub,test_roc_auc,0.6304416503443482
Vanilla random forest_rSub,test_roc_auc,0.6690149744108169
Vanilla random forest_rSub,test_roc_auc,0.6362229102167184
Vanilla random forest_rSub,test_roc_auc,0.6715738927149808
Vanilla random forest_rSub,test_roc_auc,0.6931193530043596
Vanilla random forest_rSub,test_roc_auc,0.6874170720919948
Vanilla random forest_rSub,test_roc_auc,0.6809723889555823
Tuned Logistic Regression_rSub,test_roc_auc,0.7137649551345961
Tuned Logistic Regression_rSub,test_roc_auc,0.7126277417746759
Tuned Logistic Regression_rSub,test_roc_auc,0.7349342928660826
Tuned Logistic Regression_rSub,test_roc_auc,0.7431633291614518
Tuned Logistic Regression_rSub,test_roc_auc,0.7329161451814769
Tuned Logistic Regression_rSub,test_roc_auc,0.7207290362953692
Tuned Logistic Regression_rSub,test_roc_auc,0.7251412429378531
Tuned Logistic Regression_rSub,test_roc_auc,0.6885436283741369
Tuned Logistic Regression_rSub,test_roc_auc,0.7892655367231637
Tuned Logistic Regression_rSub,test_roc_auc,0.7497175141242938
Tuned single Tree_rSub,test_roc_auc,0.7425847457627119
Tuned single Tree_rSub,test_roc_auc,0.687780408773679
Tuned single Tree_rSub,test_roc_auc,0.7348247809762203
